vehicle_id,date,distance_km,fuel_used_liters,fuel_price_per_liter
DU-9753-IJ,20-01-2026,163.9,13.75,1.56
DU-9753-IJ,22-01-2026,73.9,6.39,1.46
DU-9753-IJ,06-02-2026,205.2,17.89,1.49
DU-9753-IJ,15-02-2026,249.1,18.30,1.53
DU-9753-IJ,20-02-2026,128.3,9.87,1.48
DU-9753-IJ,22-02-2026,202.4,16.52,1.52
DU-9753-IJ,03-03-2026,128.6,10.21,1.62
GS-6602-AA,15-01-2026,124.6,9.17,1.42
GS-6602-AA,28-01-2026,149.0,10.93,1.50
GS-6602-AA,05-02-2026,220.7,15.54,1.46
GS-6602-AA,10-02-2026,156.1,11.55,1.57
GS-6602-AA,21-02-2026,124.7,8.79,1.51
GS-6602-AA,22-02-2026,116.6,8.48,1.55
GS-6602-AA,24-02-2026,131.1,9.51,1.56
KA-6420-OP,15-01-2026,203.6,10.24,1.43
KA-6420-OP,17-01-2026,172.0,8.73,1.48
KA-6420-OP,18-01-2026,58.5,2.85,1.47
KA-6420-OP,20-01-2026,132.6,7.09,1.46
KA-6420-OP,22-01-2026,237.8,13.07,1.43
KA-6420-OP,01-03-2026,108.2,5.77,1.61
KA-6420-OP,24-03-2026,243.6,13.89,1.62
OS-1357-GH,15-01-2026,249.4,18.08,1.48
OS-1357-GH,25-01-2026,172.7,13.64,1.44
OS-1357-GH,02-02-2026,191.1,15.22,1.50
OS-1357-GH,04-02-2026,164.0,13.04,1.55
OS-1357-GH,08-02-2026,155.2,11.58,1.44
OS-1357-GH,11-02-2026,194.5,14.40,1.54
OS-1357-GH,20-03-2026,245.9,18.75,1.58
PU-8642-KL,18-01-2026,201.6,10.44,1.50
PU-8642-KL,25-01-2026,100.8,5.12,1.45
PU-8642-KL,31-01-2026,201.8,11.09,1.51
PU-8642-KL,02-02-2026,233.2,12.82,1.56
PU-8642-KL,06-02-2026,86.9,4.80,1.46
PU-8642-KL,13-02-2026,140.8,7.51,1.50
PU-8642-KL,15-03-2026,134.0,7.75,1.56
RI-2468-EF,20-01-2026,255.8,13.92,1.52
RI-2468-EF,04-02-2026,225.0,12.78,1.56
RI-2468-EF,07-02-2026,145.1,7.81,1.54
RI-2468-EF,09-02-2026,150.1,8.33,1.44
RI-2468-EF,10-02-2026,253.9,13.92,1.50
RI-2468-EF,02-03-2026,139.7,8.14,1.57
RI-2468-EF,11-03-2026,155.6,8.54,1.52
SB-4201-ST,25-01-2026,222.0,18.38,1.51
SB-4201-ST,28-01-2026,112.1,8.84,1.46
SB-4201-ST,04-02-2026,58.9,4.92,1.45
SB-4201-ST,11-02-2026,176.6,13.43,1.54
SB-4201-ST,06-03-2026,85.2,6.59,1.55
SB-4201-ST,08-03-2026,180.4,14.87,1.58
SB-4201-ST,15-03-2026,139.2,10.82,1.50
ST-4321-CD,15-01-2026,118.4,8.21,1.50
ST-4321-CD,21-01-2026,170.2,11.92,1.48
